switch;4.00E+08;6.00E+08;8.00E+08;1.00E+09;1.20E+09;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ofast;13.4;20.3;26.5;33.5;39.7;;;;;;;;;;;;;;;;;;;;;;;;;;;
O3;18.3;27.3;36.3;45.3;54.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
O2;18.3;27.5;36.3;45.3;53.9;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ofast-m32;25.0;37.4;50.1;62.5;75.1;;;;switch;time;;;;;;;;;;switch;t;;;;;;;;;;switch;t
O1;25.8;38.8;51.5;63.9;77.5;;;;Ofast;20.3;;;;;;;;;;Ofast;26.5;;;;;;;;;;Ofast;39.7
Og;26.1;38.8;51.7;64.8;77.4;;;;O3;27.3;;;;;;;;;;O3;36.3;;;;;;;;;;O3;54.4
Os;29.7;42.7;56.8;70.9;85.1;;;;O2;27.5;;;;;;;;;;O2;36.3;;;;;;;;;;O2;53.9
m64;32.9;49.2;65.4;81.7;98.1;;;;Ofast-m32;37.4;;;;;;;;;;Ofast-m32;50.1;;;;;;;;;;Ofast-m32;75.1
O0;32.8;50.2;65.7;81.8;98.3;;;;O1;38.8;;;;;;;;;;O1;51.5;;;;;;;;;;O1;77.5
O3-m32;53.1;79.5;106.6;133.4;158.8;;;;Og;38.8;;;;;;;;;;Og;51.7;;;;;;;;;;Og;77.4
O2-m32;56.3;83.7;111.6;139.3;167.3;;;;Os;42.7;;;;;;;;;;Os;56.8;;;;;;;;;;Os;85.1
Os-m32;55.8;83.7;110.8;138.4;166.3;;;;m64;49.2;;;;;;;;;;m64;65.4;;;;;;;;;;m64;98.1
Og-m32;68.6;102.8;136.9;171.5;205.9;;;;O0;50.2;;;;;;;;;;O0;65.7;;;;;;;;;;O0;98.3
O1-m32;68.9;103.4;137.9;172.0;208.0;;;;O3-m32;79.5;;;;;;;;;;O3-m32;106.6;;;;;;;;;;O3-m32;158.8
O0-m32;72.2;107.8;144.3;179.5;215.6;;;;O2-m32;83.7;;;;;;;;;;O2-m32;111.6;;;;;;;;;;O2-m32;167.3
m32;72.2;107.8;145.2;179.5;215.4;;;;Os-m32;83.7;;;;;;;;;;Os-m32;110.8;;;;;;;;;;Os-m32;166.3
;;;;;;;;;Og-m32;102.8;;;;;;;;;;Og-m32;136.9;;;;;;;;;;Og-m32;205.9
;;;;;;;;;O1-m32;103.4;;;;;;;;;;O1-m32;137.9;;;;;;;;;;O1-m32;208.0
;;;;;;;;;O0-m32;107.8;;;;;;;;;;O0-m32;144.3;;;;;;;;;;O0-m32;215.6
;;;;;;;;;m32;107.8;;;;;;;;;;m32;145.2;;;;;;;;;;m32;215.4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;switch;t;;;;;;;;;;switch;t;;;;;;;;;;;
;;;;;;;;;Ofast;13.4;;;;;;;;;;Ofast;33.5;;;;;;;;;;;
;;;;;;;;;O3;18.3;;;;;;;;;;O3;45.3;;;;;;;;;;;
;;;;;;;;;O2;18.3;;;;;;;;;;O2;45.3;;;;;;;;;;;
;;;;;;;;;Ofast-m32;25.0;;;;;;;;;;Ofast-m32;62.5;;;;;;;;;;;
;;;;;;;;;O1;25.8;;;;;;;;;;O1;63.9;;;;;;;;;;;
;;;;;;;;;Og;26.1;;;;;;;;;;Og;64.8;;;;;;;;;;;
;;;;;;;;;Os;29.7;;;;;;;;;;Os;70.9;;;;;;;;;;;
;;;;;;;;;m64;32.9;;;;;;;;;;m64;81.7;;;;;;;;;;;
;;;;;;;;;O0;32.8;;;;;;;;;;O0;81.8;;;;;;;;;;;
;;;;;;;;;O3-m32;53.1;;;;;;;;;;O3-m32;133.4;;;;;;;;;;;
;;;;;;;;;O2-m32;56.3;;;;;;;;;;O2-m32;139.3;;;;;;;;;;;
;;;;;;;;;Os-m32;55.8;;;;;;;;;;Os-m32;138.4;;;;;;;;;;;
;;;;;;;;;Og-m32;68.6;;;;;;;;;;Og-m32;171.5;;;;;;;;;;;
;;;;;;;;;O1-m32;68.9;;;;;;;;;;O1-m32;172.0;;;;;;;;;;;
;;;;;;;;;O0-m32;72.2;;;;;;;;;;O0-m32;179.5;;;;;;;;;;;
;;;;;;;;;m32;72.2;;;;;;;;;;m32;179.5;;;;;;;;;;;
