size_bytes,N,mode,K,cycles_total,cycles_per_access
1024,256,forward,250000,251422580,3.92848
1024,256,backward,250000,245188928,3.83108
1024,256,random,250000,250007062,3.90636
1536,384,forward,166666,251225522,3.92541
1536,384,backward,166666,249695456,3.90151
1536,384,random,166666,242310650,3.78612
2048,512,forward,125000,251302706,3.9266
2048,512,backward,125000,256790042,4.01234
2048,512,random,125000,242248764,3.78514
3072,768,forward,83333,241074144,3.7668
3072,768,backward,83333,241677816,3.77623
3072,768,random,83333,241467336,3.77294
4096,1024,forward,62500,245830724,3.84111
4096,1024,backward,62500,247927042,3.87386
4096,1024,random,62500,251213472,3.92521
6144,1536,forward,41666,251308466,3.92676
6144,1536,backward,41666,251229834,3.92553
6144,1536,random,41666,242091940,3.78275
8192,2048,forward,31250,241324894,3.7707
8192,2048,backward,31250,240958402,3.76498
8192,2048,random,31250,241090972,3.76705
12288,3072,forward,20833,241027288,3.76611
12288,3072,backward,20833,240760860,3.76195
12288,3072,random,20833,241856268,3.77906
16384,4096,forward,15625,241224542,3.76913
16384,4096,backward,15625,247988690,3.87482
16384,4096,random,15625,251203710,3.92506
24576,6144,forward,10416,240714734,3.76141
24576,6144,backward,10416,240696954,3.76113
24576,6144,random,10416,240946512,3.76503
32768,8192,forward,7812,241213644,3.7692
32768,8192,backward,7812,250235966,3.91019
32768,8192,random,7812,251094964,3.92361
49152,12288,forward,5208,244171740,3.81543
49152,12288,backward,5208,244280844,3.81713
49152,12288,random,5208,249822544,3.90373
65536,16384,forward,3906,243127526,3.79911
65536,16384,backward,3906,250547514,3.91506
65536,16384,random,3906,375075266,5.86093
98304,24576,forward,2604,244827556,3.82568
98304,24576,backward,2604,241897610,3.77989
98304,24576,random,2604,474149238,7.40906
131072,32768,forward,1953,244513782,3.82077
131072,32768,backward,1953,251785496,3.9344
131072,32768,random,1953,527016636,8.23516
196608,49152,forward,1302,242402348,3.78778
196608,49152,backward,1302,241962478,3.78091
196608,49152,random,1302,581047038,9.07944
262144,65536,forward,976,245292424,3.8349
262144,65536,backward,976,241693540,3.77864
262144,65536,random,976,609734732,9.5326
393216,98304,forward,651,245252310,3.83231
393216,98304,backward,651,249506610,3.89879
393216,98304,random,651,652660772,10.1985
524288,131072,forward,488,242938314,3.7981
524288,131072,backward,488,251724814,3.93547
524288,131072,random,488,721360990,11.2778
786432,196608,forward,325,242305230,3.79209
786432,196608,backward,325,241608886,3.78119
786432,196608,random,325,804151650,12.585
1048576,262144,forward,244,242588140,3.79262
1048576,262144,backward,244,241942318,3.78253
1048576,262144,random,244,851986342,13.32
1572864,393216,forward,162,241309204,3.78815
1572864,393216,backward,162,248539554,3.90166
1572864,393216,random,162,907100336,14.24
2097152,524288,forward,122,241433658,3.77458
2097152,524288,backward,122,242519636,3.79155
2097152,524288,random,122,707816514,11.066
3145728,786432,forward,81,241248368,3.7872
3145728,786432,backward,81,240843708,3.78085
3145728,786432,random,81,1556050448,24.4274
4194304,1048576,forward,61,242637426,3.79339
4194304,1048576,backward,61,243305950,3.80385
4194304,1048576,random,61,1845996316,28.8603
6291456,1572864,forward,40,238166554,3.78556
6291456,1572864,backward,40,240819546,3.82772
6291456,1572864,random,40,2177326790,34.6077
8388608,2097152,forward,30,238217742,3.78637
8388608,2097152,backward,30,237389214,3.7732
8388608,2097152,random,30,2355553642,37.4405
12582912,3145728,forward,20,238966652,3.79827
12582912,3145728,backward,20,246921790,3.92472
12582912,3145728,random,20,2562366050,40.7277
16777216,4194304,forward,15,238104786,3.78457
16777216,4194304,backward,15,239320898,3.8039
16777216,4194304,random,15,2985553706,47.4541
25165824,6291456,forward,10,248699608,3.95297
25165824,6291456,backward,10,246924806,3.92476
25165824,6291456,random,10,12632632022,200.79
33554432,8388608,forward,7,228470876,3.89084
33554432,8388608,backward,7,228011604,3.88301
33554432,8388608,random,7,19072423616,324.801
